day_number,reading_text,memory_verse
1,创世记第 1 章，创世记第 2 章，约伯记第 1 章，以赛亚书第 1 章，马太福音第 1 章,马太福音 1:21
2,创世记第 3 章，创世记第 4 章，约伯记第 2 章，以赛亚书第 2 章，马太福音第 2 章,马太福音 2:11
3,创世记第 5 章，创世记第 6 章，约伯记第 3 章，以赛亚书第 3 章，马太福音第 3 章,马太福音 3:17
4,创世记第 7 章，创世记第 8 章，约伯记第 4 章，以赛亚书第 4 章，马太福音第 4 章,马太福音 4:16
5,创世记第 9 章，创世记第 10 章，约伯记第 5 章，以赛亚书第 5 章，马太福音第 5 章,马太福音 5:3
6,创世记第 11 章，创世记第 12 章，约伯记第 6 章，以赛亚书第 6 章，马太福音第 6 章,马太福音 6:33
8,创世记第 14 章，创世记第 14 章，约伯记第 7 章，以赛亚书第 7 章，马太福音第 7 章,马太福音 7:21
9,创世记第 15 章，创世记第 16 章，约伯记第 8 章，以赛亚书第 8 章，马太福音第 8 章,马太福音 8:27
10,创世记第 17 章，约伯记第 9 章，以赛亚书第 9 章，马太福音第 9 章,马太福音 9:36
11,创世记第 18 章，约伯记第 10 章，以赛亚书第 10 章 1-19 节，马太福音第 10 章,马太福音 10:33
12,创世记第 19 章，约伯记第 11 章，以赛亚书第 10 章 20-34 节，马太福音第 11 章,马太福音 11:28
13,创世记第 20 章，创世记第 21 章，约伯记第 12 章，以赛亚书第 11 章，马太福音第 12 章 1-21 节,马太福音 12:18
15,创世记第 22 章，创世记第 23 章，约伯记第 13 章，以赛亚书第 12 章，马太福音第 12 章 22-50 节,马太福音 12:28
16,创世记第 24 章，约伯记第 14 章，以赛亚书第 13 章，马太福音第 13 章 1-30 节,马太福音 13:22
17,创世记第 25 章，约伯记第 15 章，以赛亚书第 14 章，马太福音第 13 章 31-58 节,马太福音 13:44
18,创世记第 26 章，约伯记第 16 章，以赛亚书第 15 章，马太福音第 14 章,马太福音 14:33
19,创世记第 27 章，约伯记第 17 章，以赛亚书第 16 章，马太福音第 15 章,马太福音 15:8
20,创世记第 28 章，创世记第 29 章，约伯记第 18 章，以赛亚书第 17 章，马太福音第 16 章,马太福音 16:16
22,创世记第 30 章，约伯记第 19 章，以赛亚书第 18 章，马太福音第 17 章,马太福音 17:8
23,创世记第 31 章，约伯记第 20 章，以赛亚书第 19 章，马太福音第 18 章,马太福音 18:3
24,创世记第 32 章，创世记第 33 章，约伯记第 21 章，以赛亚书第 20 章，马太福音第 19 章,马太福音 19:30
25,创世记第 34 章，创世记第 35 章，约伯记第 22 章，以赛亚书第 21 章，马太福音第 20 章,马太福音 20:28
26,创世记第 36 章，约伯记第 23 章，以赛亚书第 22 章，马太福音第 21 章 1-22 节,马太福音 21:9
27,创世记第 37 章，创世记第 38 章，约伯记第 24 章，以赛亚书第 23 章，马太福音第 21 章 23-46 节,马太福音 21:42
29,创世记第 39 章，创世记第 40 章，约伯记第 25 章，以赛亚书第 24 章，马太福音第 22 章,马太福音 22:21
30,创世记第 41 章，约伯记第 26 章，以赛亚书第 25 章，马太福音第 23 章,马太福音 23:37
31,创世记第 42 章，约伯记第 27 章，以赛亚书第 26 章，马太福音第 24 章,马太福音 24:42
32,创世记第 43 章，约伯记第 28 章，以赛亚书第 27 章，马太福音第 25 章,马太福音 25:21
33,创世记第 44 章，约伯记第 29 章，以赛亚书第 28 章，马太福音第 26 章 1-46 节,马太福音 26:28
34,创世记第 45 章，创世记第 46 章，约伯记第 30 章，以赛亚书第 29 章，马太福音第 26 章 47-75 节,马太福音 26:75
36,创世记第 47 章，约伯记第 31 章，以赛亚书第 30 章 1-17 节，马太福音第 27 章 1-32 节,马太福音 27:54
37,创世记第 48 章，创世记第 49 章，约伯记第 32 章，以赛亚书第 30 章 18-33 节，马太福音第 27 章 33-66 节,马太福音 27:54
38,创世记第 50 章，约伯记第 33 章，以赛亚书第 31 章，马太福音第 28 章,马太福音 28:18
39,出埃及记第 1 章，出埃及记第 2 章，约伯记第 34 章，以赛亚书第 32 章，马可福音第 1 章,马可福音 1:35
40,出埃及记第 3 章，出埃及记第 4 章，约伯记第 35 章，以赛亚书第 33 章，马可福音第 2 章,马可福音 2:5
41,出埃及记第 5 章，出埃及记第 6 章，约伯记第 36 章，以赛亚书第 34 章，马可福音第 3 章,马可福音 3:20
43,出埃及记第 7 章，出埃及记第 8 章，约伯记第 37 章，以赛亚书第 35 章，马可福音第 4 章,马可福音 4:33
44,出埃及记第 9 章，约伯记第 38 章，以赛亚书第 36 章，马可福音第 5 章,马可福音 5:36
45,出埃及记第 10 章，出埃及记第 11 章，约伯记第 39 章，以赛亚书第 37 章 1-20 节，马可福音第 6 章 1-29 节,马可福音 6:12
46,出埃及记第 12 章，约伯记第 40 章，以赛亚书第 37 章 21-30 节，马可福音第 6 章 30-56 节,马可福音 6:41
47,出埃及记第 13 章，出埃及记第 14 章，约伯记第 41 章，以赛亚书第 38 章，马可福音第 7 章,马可福音 7:36
48,出埃及记第 15 章，约伯记第 42 章，以赛亚书第 39 章，马可福音第 8 章,马可福音 8:36
50,出埃及记第 16 章，诗篇第 1 章，以赛亚书第 40 章，马可福音第 9 章 1-29 节,马可福音 9:8
51,出埃及记第 17 章，出埃及记第 18 章，诗篇第 2 章，以赛亚书第 41 章，马可福音第 9 章 30-50 节,马可福音 9:37
52,出埃及记第 19 章，出埃及记第 20 章，诗篇第 3 章，以赛亚书第 42 章，马可福音第 10 章 1-31 节,马可福音 10:27
53,出埃及记第 21 章，诗篇第 4 章，以赛亚书第 43 章，马可福音第 10 章 32-52 节,马可福音 10:45
54,出埃及记第 22 章，诗篇第 5 章，以赛亚书第 44 章 1-20 节，马可福音第 11 章,马可福音 11:17
55,出埃及记第 23 章，诗篇第 6 章，以赛亚书第 44 章 21-28 节，马可福音第 12 章 1-17 节,马可福音 12:17
57,出埃及记第 24 章，出埃及记第 25 章，诗篇第 7 章，以赛亚书第 45 章，马可福音第 12 章 18-44 节,马可福音 12:24
58,出埃及记第 26 章，出埃及记第 27 章，诗篇第 8 章，以赛亚书第 46 章，马可福音第 13 章,马可福音 13:35
59,出埃及记第 28 章，诗篇第 9 章，以赛亚书第 47 章，马可福音第 14 章 1-42 节,马可福音 14:32
