day_number,reading_text,memory_verse
1,创世记第 1 章，创世记第 2 章,
2,创世记第 3 章，创世记第 4 章，创世记第 5 章,
3,创世记第 6 章，创世记第 7 章，创世记第 8 章，创世记第 9 章,
4,创世记第 10 章，创世记第 11 章,
5,创世记第 12 章，创世记第 13 章,
6,创世记第 14 章，创世记第 15 章,
7,创世记第 16 章，创世记第 17 章,
8,创世记第 18 章，创世记第 19 章，创世记第 20 章,
9,创世记第 21 章，创世记第 22 章，创世记第 23 章,
10,创世记第 24 章，创世记第 25 章，创世记第 26 章,
11,创世记第 27 章，创世记第 28 章，创世记第 29 章，创世记第 30 章,
12,创世记第 31 章，创世记第 32 章，创世记第 33 章,
13,创世记第 34 章，创世记第 35 章，创世记第 36 章,
14,创世记第 37 章，创世记第 38 章，创世记第 39 章，创世记第 40 章,
15,创世记第 41 章，创世记第 42 章，创世记第 43 章，创世记第 44 章,
16,创世记第 45 章，创世记第 46 章，创世记第 47 章,
17,创世记第 48 章，创世记第 49 章，创世记第 50 章,
18,出埃及记第 1 章，出埃及记第 2 章,
19,出埃及记第 3 章，出埃及记第 4 章,
20,出埃及记第 5 章，出埃及记第 6 章,
21,出埃及记第 7 章，出埃及记第 8 章，出埃及记第 9 章，出埃及记第 10 章,
22,出埃及记第 11 章，出埃及记第 12 章，出埃及记第 13 章,
23,出埃及记第 14 章，出埃及记第 15 章，出埃及记第 16 章,
24,出埃及记第 17 章，出埃及记第 18 章，出埃及记第 19 章,
25,出埃及记第 20 章，出埃及记第 21 章，出埃及记第 22 章,
26,出埃及记第 23 章，出埃及记第 24 章，出埃及记第 25 章,
27,出埃及记第 26 章，出埃及记第 27 章,
28,出埃及记第 28 章，出埃及记第 29 章,
29,出埃及记第 30 章，出埃及记第 31 章，出埃及记第 32 章,
30,出埃及记第 33 章，出埃及记第 34 章，出埃及记第 35 章，出埃及记第 36 章,
31,出埃及记第 37 章，出埃及记第 38 章，出埃及记第 39 章，出埃及记第 40 章,
32,利未记第 1 章，利未记第 2 章，利未记第 3 章,
33,利未记第 4 章，利未记第 5 章,
34,利未记第 6 章，利未记第 7 章,
35,利未记第 8 章，利未记第 9 章，利未记第 10 章,
36,利未记第 11 章，利未记第 12 章，利未记第 13 章，利未记第 14 章,
37,利未记第 15 章，利未记第 16 章，利未记第 17 章,
38,利未记第 18 章，利未记第 19 章，利未记第 20 章,
39,利未记第 21 章，利未记第 22 章，利未记第 23 章,
40,利未记第 24 章，利未记第 25 章，利未记第 26 章，利未记第 27 章,
41,民数记第 1 章，民数记第 2 章,
42,民数记第 3 章，民数记第 4 章,
43,民数记第 5 章，民数记第 6 章，民数记第 7 章，民数记第 8 章,
44,民数记第 9 章，民数记第 10 章，民数记第 11 章，民数记第 12 章,
45,民数记第 13 章，民数记第 14 章，民数记第 15 章，民数记第 16 章,
46,民数记第 17 章，民数记第 18 章，民数记第 19 章，民数记第 20 章,
47,民数记第 21 章，民数记第 22 章，民数记第 23 章，民数记第 24 章，民数记第 25 章,
48,民数记第 26 章，民数记第 27 章,
49,民数记第 28 章，民数记第 29 章，民数记第 30 章,
50,民数记第 31 章，民数记第 32 章，民数记第 33 章,
51,民数记第 34 章，民数记第 35 章，民数记第 36 章,
52,申命记第 1 章，申命记第 2 章，申命记第 3 章，申命记第 4 章,
53,申命记第 5 章，申命记第 6 章，申命记第 7 章,
54,申命记第 8 章，申命记第 9 章，申命记第 10 章，申命记第 11 章,
55,申命记第 12 章，申命记第 13 章，申命记第 14 章，申命记第 15 章，申命记第 16 章,
56,申命记第 17 章，申命记第 18 章，申命记第 19 章，申命记第 20 章,
57,申命记第 21 章，申命记第 22 章，申命记第 23 章，申命记第 24 章，申命记第 25 章，申命记第 26 章,
58,申命记第 27 章，申命记第 28 章，申命记第 29 章，申命记第 30 章,
59,申命记第 31 章，申命记第 32 章，申命记第 33 章，申命记第 34 章,
60,约书亚记第 1 章，约书亚记第 2 章，约书亚记第 3 章，约书亚记第 4 章,
61,约书亚记第 5 章，约书亚记第 6 章，约书亚记第 7 章,
62,约书亚记第 8 章，约书亚记第 9 章，约书亚记第 10 章,
63,约书亚记第 11 章，约书亚记第 12 章，约书亚记第 13 章,
64,约书亚记第 14 章，约书亚记第 15 章，约书亚记第 16 章，约书亚记第 17 章,
65,约书亚记第 18 章，约书亚记第 19 章，约书亚记第 20 章，约书亚记第 21 章,
66,约书亚记第 22 章，约书亚记第 23 章，约书亚记第 24 章,
67,士师记第 1 章，士师记第 2 章，士师记第 3 章，士师记第 4 章,
68,士师记第 5 章，士师记第 6 章，士师记第 7 章,
69,士师记第 8 章，士师记第 9 章,
70,士师记第 10 章，士师记第 11 章，士师记第 12 章,
71,士师记第 13 章，士师记第 14 章，士师记第 15 章，士师记第 16 章,
72,士师记第 17 章，士师记第 18 章，士师记第 19 章，士师记第 20 章，士师记第 21 章,
73,路得记第 1 章，路得记第 2 章，路得记第 3 章，路得记第 4 章,
74,撒母耳记上第 1 章，撒母耳记上第 2 章，撒母耳记上第 3 章,
75,撒母耳记上第 4 章，撒母耳记上第 5 章，撒母耳记上第 6 章，撒母耳记上第 7 章，撒母耳记上第 8 章,
76,撒母耳记上第 9 章，撒母耳记上第 10 章,
77,撒母耳记上第 11 章，撒母耳记上第 12 章,
78,撒母耳记上第 13 章，撒母耳记上第 14 章，撒母耳记上第 15 章,
79,撒母耳记上第 16 章，撒母耳记上第 17 章，撒母耳记上第 18 章，撒母耳记上第 19 章,
80,撒母耳记上第 20 章，撒母耳记上第 21 章，撒母耳记上第 22 章，撒母耳记上第 23 章,
81,撒母耳记上第 24 章，撒母耳记上第 25 章，撒母耳记上第 26 章,
82,撒母耳记上第 27 章，撒母耳记上第 28 章，撒母耳记上第 29 章，撒母耳记上第 30 章，撒母耳记上第 31 章,
83,撒母耳记下第 1 章，撒母耳记下第 2 章,
84,撒母耳记下第 3 章，撒母耳记下第 4 章,
85,撒母耳记下第 5 章，撒母耳记下第 6 章，撒母耳记下第 7 章,
86,撒母耳记下第 8 章，撒母耳记下第 9 章，撒母耳记下第 10 章,
87,撒母耳记下第 11 章，撒母耳记下第 12 章，撒母耳记下第 13 章，撒母耳记下第 14 章,
88,撒母耳记下第 15 章，撒母耳记下第 16 章，撒母耳记下第 17 章，撒母耳记下第 18 章,
89,撒母耳记下第 19 章，撒母耳记下第 20 章,
