day_number,reading_text,memory_verse
1,创世记第 1 章,
2,创世记第 2 章,
3,创世记第 3 章，创世记第 4 章,
4,创世记第 5 章,
5,创世记第 6 章,
6,创世记第 7 章,
7,创世记第 8 章,
8,创世记第 9 章,
9,创世记第 10 章,
10,创世记第 11 章,
11,创世记第 12 章,
12,创世记第 13 章,
13,创世记第 14 章,
14,创世记第 15 章,
15,创世记第 16 章，创世记第 17 章,
16,创世记第 18 章,
17,创世记第 19 章,
18,创世记第 20 章,
19,创世记第 21 章,
20,创世记第 22 章，创世记第 23 章,
21,创世记第 24 章,
22,创世记第 25 章,
23,创世记第 26 章,
24,创世记第 27 章,
25,创世记第 28 章,
26,创世记第 29 章,
27,创世记第 30 章,
28,创世记第 31 章,
29,创世记第 32 章,
30,创世记第 33 章,
31,创世记第 34 章,
32,创世记第 35 章,
33,创世记第 36 章,
34,创世记第 37 章,
35,创世记第 38 章,
36,创世记第 39 章,
37,创世记第 40 章,
38,创世记第 41 章,
39,创世记第 42 章,
40,创世记第 43 章,
41,创世记第 44 章,
42,创世记第 45 章,
43,创世记第 46 章,
44,创世记第 47 章,
45,创世记第 48 章,
46,创世记第 49 章,
47,创世记第 50 章,
48,出埃及记第 1 章，出埃及记第 2 章,
49,出埃及记第 3 章，出埃及记第 4 章,
50,出埃及记第 5 章，出埃及记第 6 章,
51,出埃及记第 7 章,
52,出埃及记第 8 章,
53,出埃及记第 9 章,
54,出埃及记第 10 章,
55,出埃及记第 11 章，出埃及记下第 12 章,
56,出埃及记第 13 章，出埃及记下第 14 章,
57,出埃及记第 15 章,
58,出埃及记第 16 章,
59,出埃及记第 17 章,
60,出埃及记第 18 章,
61,出埃及记第 19 章，出埃及记下第 20 章,
62,出埃及记第 21 章,
63,出埃及记第 22 章,
64,出埃及记第 23 章,
65,出埃及记第 24 章，出埃及记下第 25 章,
66,出埃及记第 26 章,
67,出埃及记第 27 章,
68,出埃及记第 28 章,
69,出埃及记第 29 章,
70,出埃及记第 30 章,
71,出埃及记第 31 章，出埃及记下第 32 章,
72,出埃及记第 33 章,
73,出埃及记第 34 章,
74,出埃及记第 35 章,
75,出埃及记第 36 章,
76,出埃及记第 37 章,
77,出埃及记第 38 章,
78,出埃及记第 39 章,
79,出埃及记第 40 章,
