day_number,reading_text,memory_verse
2,马太福音第 1 章,
3,马太福音第 2 章,
4,马太福音第 3 章,
5,马太福音第 4 章,
6,马太福音第 5 章,
7,马太福音第 6 章,
9,马太福音第 7 章,
10,马太福音第 8 章,
11,马太福音第 9 章,
12,马太福音第 10 章,
13,马太福音第 11 章,
14,马太福音第 12 章,
16,马太福音第 13 章,
17,马太福音第 14 章,
18,马太福音第 15 章,
19,马太福音第 16 章,
20,马太福音第 17 章,
21,马太福音第 18 章,
23,马太福音第 19 章,
24,马太福音第 20 章,
25,马太福音第 21 章,
26,马太福音第 22 章,
27,马太福音第 23 章,
28,马太福音第 24 章,
30,马太福音第 25 章,
31,马太福音第 26 章,
32,马太福音第 27 章,
33,马太福音第 28 章,
34,马可福音第 1 章,
35,马可福音第 2 章,
37,马可福音第 3 章,
38,马可福音第 4 章,
39,马可福音第 5 章,
40,马可福音第 6 章,
41,马可福音第 7 章,
42,马可福音第 8 章,
44,马可福音第 9 章,
45,马可福音第 10 章,
46,马可福音第 11 章,
47,马可福音第 12 章,
48,马可福音第 13 章,
49,马可福音第 14 章,
51,马可福音第 15 章,
52,马可福音第 16 章,
53,路加福音第 1 章,
54,路加福音第 2 章,
55,路加福音第 3 章,
56,路加福音第 4 章,
58,路加福音第 5 章,
59,路加福音第 6 章,
60,路加福音第 7 章,
61,路加福音第 8 章,
62,路加福音第 9 章,
63,路加福音第 10 章,
65,路加福音第 11 章,
66,路加福音第 12 章,
67,路加福音第 13 章,
68,路加福音第 14 章,
69,路加福音第 15 章,
70,路加福音第 16 章,
72,路加福音第 17 章,
73,路加福音第 18 章,
74,路加福音第 19 章,
75,路加福音第 20 章,
76,路加福音第 21 章,
77,路加福音第 22 章,
79,路加福音第 23 章,
80,路加福音第 24 章,
81,约翰福音第 1 章,
82,约翰福音第 2 章,
83,约翰福音第 3 章,
84,约翰福音第 4 章,
86,约翰福音第 5 章,
87,约翰福音第 6 章,
88,约翰福音第 7 章,
89,约翰福音第 8 章,
90,约翰福音第 9 章,
91,约翰福音第 10 章,
93,约翰福音第 11 章,
94,约翰福音第 12 章,
95,约翰福音第 13 章,
96,约翰福音第 14 章,
97,约翰福音第 15 章,
98,约翰福音第 16 章,
100,约翰福音第 17 章,
101,约翰福音第 18 章,
102,约翰福音第 19 章,
103,约翰福音第 20 章,
104,约翰福音第 21 章,
105,使徒行传第 1 章,
107,使徒行传第 2 章,
108,使徒行传第 3 章,
109,使徒行传第 4 章,
110,使徒行传第 5 章,
111,使徒行传第 6 章,
112,使徒行传第 7 章,
114,使徒行传第 8 章,
115,使徒行传第 9 章,
116,使徒行传第 10 章,
117,使徒行传第 11 章,
118,使徒行传第 12 章,
119,使徒行传第 13 章,
121,使徒行传第 14 章,
122,使徒行传第 15 章,
